,Candidate,clean_name,State,District,num_candidates_in_race,Office Type,Race Type,Primary Status,Primary Runoff Status,General Status,Primary %,Endorsements,district_identifier,district_lean,Cand_Office,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date,Republican?,Challenger?(else_open),received_endorsements?
300,Peter Tedeschi,peter tedeschi,MA,U.S. House Massachusetts District 9,1,Representative,Regular,Advanced,None,On the Ballot,100.0,1.0,MA-9,16.76775,H,REP,CHALLENGER,856814.05,856535.25,278.8,213403.62,597226.67,35769.02,632995.69,12200.0,1000.0,0.0,646195.69,9792.79,200000.0,0.0,200000.0,825.57,0,0,0.0,852465.04,0.0,0.0,1370.21,0.0,0.0,0.0,2700.0,0.0,0.0,2700.0,0.0,643495.69,851639.47,0.0,0.0,10/01/2017,True,True,True
301,Michael McCarthy (Michigan),michael mccarthy,MI,U.S. House Michigan District 10,3,Representative,Regular,Lost,None,None,26.9,2.0,MI-10,-33.82783,H,DEM,CHALLENGER,118016.88,118016.88,0.0,0.0,7516.63,1250.0,8766.63,0.0,0.0,109250.25,118016.88,0.0,0.0,0.0,0.0,0.0,0,0,0.0,118016.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118016.88,118016.88,0.0,0.0,04/01/2018,False,True,True
302,Kerry Bentivolio,kerry bentivolio,MI,U.S. House Michigan District 11,10,Representative,Regular,Lost,None,None,11.3,1.0,MI-11,-1.6876659999999999,H,REP,OPEN,37273.54,34656.38,1017.16,15150.0,25592.1,9621.44,35213.54,0.0,0.0,10.0,35223.54,0.0,2050.0,0.0,2050.0,0.0,0,0,0.0,30722.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3933.62,35223.54,30722.76,0.0,0.0,10/01/2017,True,False,True
303,Klint Kesto,klint kesto,MI,U.S. House Michigan District 11,10,Representative,Regular,Lost,None,None,14.0,2.0,MI-11,-1.6876659999999999,H,REP,OPEN,649799.0,649799.0,0.0,0.0,612998.0,21883.0,634881.0,4350.0,0.0,0.0,639231.0,0.0,10568.0,0.0,10568.0,0.0,0,0,0.0,632199.0,0.0,0.0,0.0,0.0,0.0,0.0,17600.0,0.0,0.0,17600.0,0.0,621631.0,632199.0,0.0,0.0,07/01/2017,True,False,True
304,Rocky Raczkowski,rocky raczkowski,MI,U.S. House Michigan District 11,10,Representative,Regular,Lost,None,None,25.4,2.0,MI-11,-1.6876659999999999,H,REP,OPEN,241810.0,241910.0,0.0,0.0,125850.0,5960.0,131810.0,0.0,0.0,0.0,131810.0,0.0,110000.0,0.0,110000.0,0.0,0,0,0.0,198835.0,0.0,0.0,0.0,24575.0,0.0,24575.0,18500.0,0.0,0.0,18500.0,0.0,113310.0,198835.0,0.0,0.0,10/03/2017,True,False,True
305,Fayrouz Saad,fayrouz saad,MI,U.S. House Michigan District 11,10,Representative,Regular,Lost,None,None,19.5,0.0,MI-11,-1.6876659999999999,H,DEM,OPEN,769824.46,764190.15,4875.0,25000.0,605079.49,125452.95,730532.44,6200.0,0.0,7368.81,744101.25,0.0,25000.0,0.0,25000.0,285.33,0,0,437.88,740381.14,0.0,0.0,0.0,0.0,0.0,0.0,22304.01,0.0,0.0,22304.01,1505.0,721797.24,740095.81,0.0,0.0,07/01/2017,False,False,False
306,Haley Stevens,haley stevens,MI,U.S. House Michigan District 11,10,Representative,Regular,Advanced,None,On the Ballot,27.0,0.0,MI-11,-1.6876659999999999,H,DEM,OPEN,4199606.98,4184088.91,15518.07,0.0,2555662.95,620938.79,3176601.74,528691.88,5149.0,0.0,3710442.62,489160.48,0.0,0.0,0.0,3.88,0,0,0.0,4148581.31,0.0,0.0,0.0,0.0,0.0,0.0,30435.26,0.0,4022.34,34457.6,1050.0,3675985.02,4148577.43,0.0,0.0,02/21/2017,False,False,False
307,Nancy Skinner,nancy skinner,MI,U.S. House Michigan District 11,10,Representative,Regular,Lost,None,None,10.4,0.0,MI-11,-1.6876659999999999,H,DEM,OPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False
308,Suneel Gupta,suneel gupta,MI,U.S. House Michigan District 11,10,Representative,Regular,Lost,None,None,21.299999,0.0,MI-11,-1.6876659999999999,H,DEM,OPEN,1482709.21,1478978.85,3730.36,200000.0,1197940.3,67027.58,1264967.88,8000.0,0.0,5400.0,1278367.88,0.0,200000.0,0.0,200000.0,4341.33,0,0,0.0,1225925.85,0.0,0.0,0.0,0.0,0.0,0.0,238878.0,0.0,0.0,238878.0,14175.0,1039489.88,1221584.52,0.0,0.0,10/01/2017,False,False,False
309,Tim Greimel,tim greimel,MI,U.S. House Michigan District 11,10,Representative,Regular,Lost,None,None,21.799999,0.0,MI-11,-1.6876659999999999,H,DEM,OPEN,1018677.7,1016015.58,2662.12,0.0,729187.1,100140.73,829327.83,187851.0,0.0,0.0,1017178.83,0.0,0.0,0.0,0.0,1498.87,0,0,0.0,938521.58,0.0,0.0,0.0,0.0,0.0,0.0,57369.0,0.0,20025.0,77394.0,100.0,939784.83,937022.71,0.0,0.0,10/13/2017,False,False,False
